trial,eta0,max_iter,train_mse,val_mse
1,0.0001,2000,0.540506,0.522029
2,0.0001,5000,0.540450,0.521483
3,0.0001,10000,0.540454,0.521483
4,0.0003,2000,0.541271,0.522709
5,0.0003,5000,0.540707,0.521162
6,0.0003,10000,0.540636,0.520893
7,0.001,2000,0.544596,0.523083
8,0.001,5000,0.542999,0.523247
9,0.001,10000,0.541075,0.521881
10,0.003,2000,0.551369,0.525284
11,0.003,5000,0.553464,0.531491
12,0.003,10000,0.546393,0.532284
13,0.01,2000,0.589326,0.554042
14,0.01,5000,0.589876,0.571467
15,0.01,10000,0.576202,0.569697
